x,y,density
-6.99568,-6.99568,0.0
-6.99568,-6.275079,0.0
-6.99568,-5.673962,0.0
-6.99568,-5.133596,0.0
-6.99568,-4.63156,0.0
-6.99568,-4.156272,0.0
-6.99568,-3.700743,0.0
-6.99568,-3.260321,0.0
-6.99568,-2.831681,0.0
-6.99568,-2.412318,0.0
-6.99568,-2.000259,0.0
-6.99568,-1.593886,0.0
-6.99568,-1.191827,0.0
-6.99568,-0.792877,0.0
-6.99568,-0.395943,0.0
-6.99568,0.0,0.0
-6.99568,0.395943,0.0
-6.99568,0.792877,0.0
-6.99568,1.191827,0.0
-6.99568,1.593886,0.0
-6.99568,2.000259,0.0
-6.99568,2.412318,0.0
-6.99568,2.831681,0.0
-6.99568,3.260321,0.0
-6.99568,3.700743,0.0
-6.99568,4.156272,0.0
-6.99568,4.63156,0.0
-6.99568,5.133596,0.0
-6.99568,5.673962,0.0
-6.99568,6.275079,0.0
-6.99568,6.99568,0.0
-6.275079,-6.99568,0.0
-6.275079,-6.275079,0.0
-6.275079,-5.673962,0.0
-6.275079,-5.133596,0.0
-6.275079,-4.63156,0.0
-6.275079,-4.156272,0.0
-6.275079,-3.700743,0.0
-6.275079,-3.260321,0.0
-6.275079,-2.831681,0.0
-6.275079,-2.412318,0.0
-6.275079,-2.000259,0.0
-6.275079,-1.593886,0.0
-6.275079,-1.191827,1e-09
-6.275079,-0.792877,3e-09
-6.275079,-0.395943,5e-09
-6.275079,0.0,6e-09
-6.275079,0.395943,5e-09
-6.275079,0.792877,3e-09
-6.275079,1.191827,1e-09
-6.275079,1.593886,0.0
-6.275079,2.000259,0.0
-6.275079,2.412318,0.0
-6.275079,2.831681,0.0
-6.275079,3.260321,0.0
-6.275079,3.700743,0.0
-6.275079,4.156272,0.0
-6.275079,4.63156,0.0
-6.275079,5.133596,0.0
-6.275079,5.673962,0.0
-6.275079,6.275079,0.0
-6.275079,6.99568,0.0
-5.673962,-6.99568,0.0
-5.673962,-6.275079,0.0
-5.673962,-5.673962,0.0
-5.673962,-5.133596,0.0
-5.673962,-4.63156,0.0
-5.673962,-4.156272,0.0
-5.673962,-3.700743,0.0
-5.673962,-3.260321,0.0
-5.673962,-2.831681,0.0
-5.673962,-2.412318,1e-09
-5.673962,-2.000259,6e-09
-5.673962,-1.593886,2.7e-08
-5.673962,-1.191827,8.4e-08
-5.673962,-0.792877,1.89e-07
-5.673962,-0.395943,3.05e-07
-5.673962,0.0,3.58e-07
-5.673962,0.395943,3.05e-07
-5.673962,0.792877,1.89e-07
-5.673962,1.191827,8.4e-08
-5.673962,1.593886,2.7e-08
-5.673962,2.000259,6e-09
-5.673962,2.412318,1e-09
-5.673962,2.831681,0.0
-5.673962,3.260321,0.0
-5.673962,3.700743,0.0
-5.673962,4.156272,0.0
-5.673962,4.63156,0.0
-5.673962,5.133596,0.0
-5.673962,5.673962,0.0
-5.673962,6.275079,0.0
-5.673962,6.99568,0.0
-5.133596,-6.99568,0.0
-5.133596,-6.275079,0.0
-5.133596,-5.673962,0.0
