T(K),partition function,internal energy,free energy,chemical entropy
2000.0,844010.7818576416,-2.0960885657091435,-2.351828900068036,0.0001278701671794462
1429.7994269340975,119423960.44616802,-2.1736960256042694,-2.2914938568509,8.238766153321457e-05
1112.5975473801561,19132785426.17761,-2.2098864117692942,-2.269838232067279,5.388455191111474e-05
910.5839416058395,3257560686153.9976,-2.2285283541983953,-2.2608215213880865,3.5464239719340134e-05
770.6563706563708,572785823954719.4,-2.2386742643428628,-2.2567145483230497,2.3408985725793714e-05
668.0053547523429,1.0252558672840698e+17,-2.244390305983417,-2.2547276129991767,1.547488645445396e-05
589.4861193148258,1.853887167387646e+19,-2.2476883520607567,-2.2537237214832824,1.0238357146629256e-05
527.4841437632136,3.3721038828503014e+21,-2.2496250932577775,-2.253199640283692,6.776596165360594e-06
477.28359636537544,6.155107114378562e+23,-2.2507780104167185,-2.252918979528579,4.48573788867734e-06
435.8078602620088,1.125843433112491e+26,-2.251471772267704,-2.2527655906781554,2.9687817233804602e-06
400.9642426677381,2.061905959189385e+28,-2.2518928749220053,-2.2526803655492675,1.9639921555668584e-06
371.2797619047619,3.779146568522951e+30,-2.252150276119654,-2.2526323670489115,1.2984573325087157e-06
345.6875649463111,6.929842233596153e+32,-2.252308510817644,-2.252605028386235,8.577617440107299e-07
323.39598185353213,1.2710981656324097e+35,-2.2524062334056163,-2.2525893093506686,5.661045755825355e-07
303.8051750380518,2.3319158411525225e+37,-2.2524668108648678,-2.2525801989189627,3.732262101219486e-07
286.4523536165327,4.278535082820515e+39,-2.2525044761613144,-2.2525748827078935,2.4578798425002393e-07
270.97474884604947,7.850683670486541e+41,-2.2525279527470863,-2.252571762412699,1.616743471453891e-07
257.0839773312726,1.4405842883147134e+44,-2.2525426145624774,-2.2525699217510087,1.0621894376595352e-07
244.54790492526342,2.643514081071868e+46,-2.2525517859353568,-2.252568831186693,6.97010728485964e-08
233.177570093458,4.851007459113284e+48,-2.2525575302826146,-2.2525681825675967,4.5683146015390363e-08
222.8175932127707,8.901985220919463e+50,-2.252561131905797,-2.2525677954969647,2.990603691415248e-08
213.33903377511763,1.6335961017139252e+53,-2.2525633919630086,-2.2525675638187357,1.955505119374984e-08
204.63399630920648,2.997811517096939e+55,-2.252564811129574,-2.2525674247808944,1.2772322133175083e-08
196.61150512214346,5.5012970983186114e+57,-2.2525657027560806,-2.2525673411410763,8.333108454943402e-09
189.19431279620858,1.009547115914995e+60,-2.2525662631871306,-2.2525672907188072,5.43109177779964e-09
182.3164048227987,1.8526293317013216e+62,-2.252566615569305,-2.2525672602628393,3.5361246550452908e-09
175.92102943768734,3.3997795902015476e+64,-2.2525668371991916,-2.2525672418344787,2.3000961758123062e-09
169.9591280653951,6.2389738777091575e+66,-2.2525669766244065,-2.2525672306658753,1.4947209463938915e-09
164.38807445231433,1.1449214298877892e+69,-2.252567064351469,-2.252567223887105,9.704818086383473e-10
159.17065390749605,2.1010591153085984e+71,-2.252567119557886,-2.252567219767152,6.295712416723548e-10
154.27423094759627,3.855679300045822e+73,-2.252567154303238,-2.2525672172600166,4.080835669731524e-10
149.67006598680265,7.075604733449467e+75,-2.252567176173048,-2.252567215732561,2.6431145558664756e-10
145.332750837338,1.2984530215329557e+78,-2.2525671899396373,-2.2525672148009632,1.7106485457421733e-10
141.2397395980753,2.3828073438740246e+80,-2.2525671986059486,-2.252567214232207,1.1063641545813444e-10
137.37095664143158,4.372719563209996e+82,-2.2525672040618123,-2.2525672138846433,7.15058789223152e-11
133.7084673097535,8.024432449767526e+84,-2.2525672074966785,-2.2525672136720614,4.6185428611827353e-11
130.2361999217017,1.4725736608482723e+87,-2.2525672096592473,-2.2525672135419303,2.9812625570184186e-11
126.93970999745615,2.702338400735282e+89,-2.2525672110208212,-2.2525672134622092,1.9232657619244693e-11
123.80597940702147,4.9590951167098005e+91,-2.252567211878098,-2.252567213413334,1.2400337574405001e-11
120.82324455205811,9.100497705594265e+93,-2.2525672124178677,-2.2525672133833488,7.990855005079234e-12
117.98084880009458,1.6700437604690038e+96,-2.2525672127577288,-2.2525672133649404,5.146696438434938e-12
115.26911526911529,3.06471827570801e+98,-2.252567212971721,-2.252567213353632,3.3132114046307192e-12
112.67923676188329,5.62410299389097e+100,-2.2525672131064622,-2.252567213346681,2.1318830579743997e-12
110.20318021201416,1.0320862033062597e+103,-2.252567213191303,-2.2525672133424064,1.3711362395062714e-12
107.8336034575905,1.8939943531966892e+105,-2.252567213244724,-2.252567213339776,8.814688858586678e-13
105.56378252591497,3.475692823723643e+107,-2.252567213278361,-2.252567213338156,5.664332436628294e-13
103.38754791256605,6.3782875515169555e+109,-2.252567213299541,-2.2525672133371586,3.638490849070337e-13
101.29922858302882,1.1704875590198588e+112,-2.2525672133128776,-2.2525672133365444,2.3363303542969347e-13
99.29360262660434,2.1479764196710168e+114,-2.2525672133212753,-2.252567213336165,1.499579703342662e-13
97.36585365853661,3.9417785041630495e+116,-2.252567213326563,-2.252567213335931,9.621506441715175e-14
95.51153220403869,7.23360723783677e+118,-2.2525672133298924,-2.252567213335787,6.171397260958858e-14
93.72652141247184,1.327448348920213e+121,-2.252567213331989,-2.252567213335698,3.957293010315622e-14
92.00700654558865,2.4360171365689324e+123,-2.2525672133333092,-2.252567213335643,2.5364250891107484e-14
90.34944776389644,4.4703656413442055e+125,-2.25256721333414,-2.2525672133356087,1.6254698322140817e-14
88.75055580257893,8.203624131925283e+127,-2.2525672133346633,-2.2525672133355874,1.0412888542959707e-14
87.20727018524991,1.5054573674143465e+130,-2.2525672133349937,-2.252567213335575,6.665875155349768e-15
85.71673967190588,2.7626837220434263e+132,-2.2525672133352006,-2.2525672133355665,4.269055383080406e-15
84.27630467826383,5.069835594983287e+134,-2.252567213335331,-2.2525672133355616,2.7348410777154958e-15
82.88348143841874,9.303718972635693e+136,-2.2525672133354138,-2.2525672133355585,1.7467060975073152e-15
81.53594771241832,1.7073371532489508e+139,-2.2525672133354653,-2.2525672133355568,1.1219882738320059e-15
80.23152986574485,3.133155852448187e+141,-2.2525672133354986,-2.252567213335556,7.140273676261681e-16
78.96819116948886,5.749693654267344e+143,-2.252567213335519,-2.252567213335555,4.555153849307538e-16
77.74402118875129,1.0551335035596745e+146,-2.252567213335532,-2.252567213335554,2.8560987910046353e-16
76.55722614298865,1.9362887438499423e+148,-2.25256721333554,-2.252567213335554,1.856239499673079e-16
75.40612013600304,3.5533077917732675e+150,-2.252567213335545,-2.252567213335554,1.1778598581894944e-16
74.28911716540124,6.520719754830088e+152,-2.252567213335548,-2.2525672133355537,7.771205189041546e-17
73.20472383187854,1.196625471609084e+155,-2.25256721333555,-2.2525672133355537,4.8531207999085395e-17
72.15153267784848,2.195942431421023e+157,-2.2525672133355514,-2.2525672133355537,3.077475927177387e-17
71.12821609293708,4.029801534836959e+159,-2.2525672133355523,-2.2525672133355537,1.8730508126471625e-17
70.13352073085034,7.395139407031572e+161,-2.2525672133355528,-2.2525672133355537,1.266410712658595e-17
69.16626238824591,1.3570913201720227e+164,-2.252567213335553,-2.2525672133355537,6.420604417762075e-18
68.22532130161336,2.4904153254165782e+166,-2.252567213335553,-2.2525672133355537,6.509155272231177e-18
67.30963782289068,4.570192440906585e+168,-2.252567213335553,-2.2525672133355537,6.597706126700279e-18
66.41820843870626,8.386817545552313e+170,-2.2525672133355537,-2.2525672133355537,0.0
65.55008210180625,1.539075420824929e+173,-2.2525672133355537,-2.2525672133355537,0.0
64.70435684647305,2.8243766340706414e+175,-2.2525672133355537,-2.2525672133355537,0.0
63.88017666261283,5.183049032651701e+177,-2.2525672133355537,-2.2525672133355537,0.0
63.076728605738865,9.511478373957318e+179,-2.252567213335553,-2.2525672133355537,7.04046039904578e-18
62.29324012233944,1.7454633419119568e+182,-2.2525672133355537,-2.2525672133355537,0.0
61.52897657213318,3.2031217000926427e+184,-2.2525672133355537,-2.2525672133355537,0.0
60.783238930507345,5.878088859984724e+186,-2.2525672133355537,-2.2525672133355537,0.0
60.05536165603563,1.078695469013095e+189,-2.2525672133355537,-2.2525672133355537,0.0
59.34471070940121,1.9795276025691195e+191,-2.2525672133355537,-2.2525672133355537,0.0
58.65068171133052,3.63265596444783e+193,-2.2525672133355537,-2.2525672133355537,0.0
57.97269822828929,6.666332583042054e+195,-2.2525672133355537,-2.2525672133355537,0.0
57.3102101757207,1.223347064589987e+198,-2.2525672133355537,-2.2525672133355537,0.0
56.662692329529335,2.2449795622980653e+200,-2.2525672133355537,-2.2525672133355537,0.0
56.02964293734562,4.119790189569124e+202,-2.2525672133355537,-2.2525672133355537,0.0
55.41058242185332,7.560278717502435e+204,-2.2525672133355537,-2.2525672133355537,0.0
54.80505216913785,1.3873962424356305e+207,-2.2525672133355537,-2.2525672133355537,0.0
54.212613395621716,2.546028268863364e+209,-2.2525672133355537,-2.2525672133355537,0.0
53.63284608770422,4.672248451870899e+211,-2.2525672133355537,-2.2525672133355537,0.0
53.065348008720164,8.574101812999762e+213,-2.2525672133355537,-2.2525672133355537,0.0
52.5097337682837,1.5734441919552474e+216,-2.2525672133355537,-2.2525672133355537,0.0
51.96563394949233,2.887447197610937e+218,-2.2525672133355537,-2.2525672133355537,0.0
51.43269428983716,5.29879061591014e+220,-2.2525672133355537,-2.2525672133355537,0.0
50.91057491200328,9.72387720699901e+222,-2.2525672133355537,-2.2525672133355537,0.0
50.39894960105041,1.784440918515853e+225,-2.2525672133355537,-2.2525672133355537,0.0
49.89750512474377,3.274649940439532e+227,-2.2525672133355537,-2.2525672133355537,0.0
49.405940594059416,6.009351232171582e+229,-2.2525672133355537,-2.2525672133355537,0.0
48.92396686112065,1.1027835917861507e+232,-2.2525672133355537,-2.2525672133355537,0.0
48.45130595203418,2.0237320191938475e+234,-2.2525672133355537,-2.2525672133355537,0.0
47.98769053228832,3.7137760445606366e+236,-2.2525672133355537,-2.2525672133355537,0.0
47.53286340255288,6.815197060847283e+238,-2.2525672133355537,-2.2525672133355537,0.0
47.08657702288277,1.2506653718715666e+241,-2.2525672133355537,-2.2525672133355537,0.0
46.64859306347575,2.2951117310825623e+243,-2.2525672133355537,-2.2525672133355537,0.0
46.21868198027139,4.2117883621176415e+245,-2.2525672133355537,-2.2525672133355537,0.0
45.79662261380324,7.72910571935439e+247,-2.2525672133355537,-2.2525672133355537,0.0
45.3822018098313,1.4183778975762064e+250,-2.2525672133355537,-2.2525672133355537,0.0
44.975214060387565,2.6028830933117888e+252,-2.2525672133355537,-2.2525672133355537,0.0
44.57546116396445,4.776583454258416e+254,-2.2525672133355537,-2.2525672133355537,0.0
44.18275190366567,8.76556828622793e+256,-2.2525672133355537,-2.2525672133355537,0.0
43.79690174222145,1.6085804449210144e+259,-2.2525672133355537,-2.2525672133355537,0.0
43.41773253284608,2.9519261767066444e+261,-2.2525672133355537,-2.2525672133355537,0.0
43.04507224498599,5.417116800242346e+263,-2.2525672133355537,-2.2525672133355537,0.0
42.678754704071174,9.94101907392905e+265,-2.2525672133355537,-2.2525672133355537,0.0
42.318619344443036,1.82428889522601e+268,-2.2525672133355537,-2.2525672133355537,0.0
41.964510974686746,3.347775462952433e+270,-2.2525672133355537,-2.2525672133355537,0.0
41.616279554647434,6.143544796921624e+272,-2.2525672133355537,-2.2525672133355537,0.0
41.27377998345741,1.1274096213877122e+275,-2.2525672133355537,-2.2525672133355537,0.0
40.93687189794496,2.0689235553948147e+277,-2.2525672133355537,-2.252567213335553,-1.084814714121711e-17
40.60541948083653,3.7967076002059217e+279,-2.2525672133355537,-2.2525672133355537,0.0
40.27929127820157,6.967385800152942e+281,-2.2525672133355537,-2.2525672133355537,0.0
39.95836002562461,1.2785937185561898e+284,-2.2525672133355537,-2.252567213335554,1.111379970462441e-17
39.64250248262166,2.346363390836307e+286,-2.2525672133355537,-2.252567213335553,-1.120235055909351e-17
39.33159927484827,4.305840926604051e+288,-2.2525672133355537,-2.2525672133355537,0.0
39.025534743674974,7.901702761653629e+290,-2.2525672133355537,-2.2525672133355537,0.0
38.72419680273165,1.4500513975740804e+293,-2.2525672133355537,-2.2525672133355537,0.0
38.42747680104733,2.6610075309464487e+295,-2.2525672133355537,-2.252567213335553,-1.1556553976969916e-17
38.1352693924341,4.883248339748565e+297,-2.2525672133355537,-2.2525672133355537,0.0
37.8474724107854,8.961310357200834e+299,-2.2525672133355537,-2.2525672133355537,0.0
37.56398675097863,1.64450131819857e+302,-2.2525672133355537,-2.2525672133355537,0.0
37.28471625509023,3.0178450223894174e+304,-2.2525672133355537,-2.252567213335553,-1.1910757394846317e-17
37.009567603649046,5.538085301834314e+306,-2.2525672133355537,-2.252567213335554,1.1999308249315417e-17
36.73845021166943,inf,,-inf,
36.47127612922088,inf,,-inf,
36.20795994630484,inf,,-inf,
35.94841870182264,inf,,-inf,
35.69257179643075,inf,,-inf,
35.440340909090914,inf,,-inf,
35.1916499171339,inf,,-inf,
34.946424819665246,inf,,-inf,
34.704593664151346,inf,,-inf,
34.46608647603261,inf,,-inf,
34.23083519121935,inf,,-inf,
33.99877359133339,inf,,-inf,
33.769837241566,inf,,-inf,
33.54396343102985,inf,,-inf,
33.321091115488635,inf,,-inf,
33.1011608623549,inf,,-inf,
32.884114797851666,inf,,-inf,
32.669896556239365,inf,,-inf,
32.458451231014415,inf,,-inf,
32.249725327990696,inf,,-inf,
32.04366672017981,inf,,-inf,
31.84022460439,inf,,-inf,
31.639349459468036,inf,,-inf,
31.440993006111785,inf,,-inf,
31.245108168185098,inf,,-inf,
31.05164903546983,inf,,-inf,
30.860570827793072,inf,,-inf,
30.67182986047084,inf,,-inf,
30.485383511012007,inf,,-inf,
30.301190187029395,inf,,-inf,
30.119209295307083,inf,,-inf,
29.939401211975763,inf,,-inf,
29.761727253750042,inf,,-inf,
29.586149650183803,inf,,-inf,
29.412631516901953,inf,,-inf,
29.241136829768532,inf,,-inf,
29.071630399953396,inf,,-inf,
28.904077849860986,inf,,-inf,
28.738445589886837,inf,,-inf,
28.574700795968628,inf,,-inf,
28.412811387900362,inf,,-inf,
28.252746008379578,inf,,-inf,
28.09447400275878,inf,,-inf,
27.93796539947372,inf,,-inf,
27.783190891122192,inf,,-inf,
27.630121816168334,inf,,-inf,
27.478730141248388,inf,,-inf,
27.32898844405499,inf,,-inf,
27.180869896778063,inf,,-inf,
27.03434825008127,inf,,-inf,
26.88939781759397,inf,,-inf,
26.7459934608994,inf,,-inf,
26.604110575000668,inf,,-inf,
26.463725074246927,inf,,-inf,
26.324813378702753,inf,,-inf,
26.187352400944636,inf,,-inf,
26.05131953326895,inf,,-inf,
25.916692635296567,inf,,-inf,
25.783450021959855,inf,,-inf,
25.65157045185833,inf,,-inf,
25.521033115969832,inf,,-inf,
25.391817626704665,inf,,-inf,
25.26390400729059,inf,,-inf,
25.137272681477008,inf,,-inf,
25.011904463547285,inf,,-inf,
24.88778054862843,inf,,-inf,
24.764882503287925,inf,,-inf,
24.64319225640773,inf,,-inf,
24.52269209032607,inf,,-inf,
24.403364632237874,inf,,-inf,
24.285192845844996,inf,,-inf,
24.168160023247932,inf,,-inf,
24.052249777070834,inf,,-inf,
23.93744603281205,inf,,-inf,
23.823733021412718,inf,,-inf,
23.71109527203612,inf,,-inf,
23.599517605050966,inf,,-inf,
23.48898512521183,inf,,-inf,
23.37948321503034,inf,,-inf,
23.270997528330927,inf,,-inf,
23.16351398398515,inf,,-inf,
23.057018759818877,inf,,-inf,
22.951498286686753,inf,,-inf,
22.84693924270867,inf,,-inf,
22.743328547663,inf,,-inf,
22.640653357531765,inf,,-inf,
22.538901059192845,inf,,-inf,
22.438059265254736,inf,,-inf,
22.338115809029254,inf,,-inf,
22.239058739638114,inf,,-inf,
22.14087631724903,inf,,-inf,
22.043557008437514,inf,,-inf,
21.947089481670442,inf,,-inf,
21.85146260290769,inf,,-inf,
21.756665431318265,inf,,-inf,
21.662687215107443,inf,,-inf,
21.569517387451647,inf,,-inf,
21.47714556253766,inf,,-inf,
21.385561531703345,inf,,-inf,
21.294755259676524,inf,,-inf,
21.204716880909384,inf,,-inf,
21.115436696005418,inf,,-inf,
21.02690516823631,inf,,-inf,
20.93911292014603,inf,,-inf,
20.852050730239654,inf,,-inf,
20.765709529754474,inf,,-inf,
20.68008039951097,inf,,-inf,
20.59515456684139,inf,,-inf,
20.51092340259367,inf,,-inf,
20.427378418208612,inf,,-inf,
20.344511262868213,inf,,-inf,
20.262313720713042,inf,,-inf,
20.180777708126907,inf,,-inf,
20.099895271086762,inf,,-inf,
20.019658582576078,inf,,-inf,
19.940059940059943,inf,,-inf,
19.86109176302016,inf,,-inf,
19.782746590548687,inf,,-inf,
19.70501707899777,inf,,-inf,
19.627895999685325,inf,,-inf,
19.551376236653933,inf,,-inf,
19.47545078448209,inf,,-inf,
19.40011274614622,inf,,-inf,
19.325355330932187,inf,,-inf,
19.251171852394826,inf,,-inf,
19.17755572636434,inf,,-inf,
19.10450046899826,inf,,-inf,
19.03199969487776,inf,,-inf,
18.960047115147145,inf,,-inf,
18.888636535695362,inf,,-inf,
18.817761855378524,inf,,-inf,
18.747417064282228,inf,,-inf,
18.677596242022723,inf,,-inf,
18.60829355608592,inf,,-inf,
18.539503260203226,inf,,-inf,
18.47121969276328,inf,,-inf,
18.403437275258625,inf,,-inf,
18.336150510766515,inf,,-inf,
18.26935398246289,inf,,-inf,
18.20304235216868,inf,,-inf,
18.13721035892776,inf,,-inf,
18.07185281761553,inf,,-inf,
18.00696461757754,inf,,-inf,
17.94254072129733,inf,,-inf,
17.878576163092745,inf,,-inf,
17.81506604784006,inf,,-inf,
17.752005549725183,inf,,-inf,
17.689389911021305,inf,,-inf,
17.62721444089231,inf,,-inf,
17.56547451422135,inf,,-inf,
17.504165570463915,inf,,-inf,
17.443283112524906,inf,,-inf,
17.382822705659,inf,,-inf,
17.322779976393807,inf,,-inf,
17.263150611475325,inf,,-inf,
17.203930356835027,inf,,-inf,
17.145115016578195,inf,,-inf,
17.08670045199288,inf,,-inf,
17.02868258057911,inf,,-inf,
16.971057375097782,inf,,-inf,
16.91382086263876,inf,,-inf,
16.85696912370786,inf,,-inf,
16.800498291332087,inf,,-inf,
16.74440455018288,inf,,-inf,
16.688684135716795,inf,,-inf,
16.633333333333333,inf,,-inf,
16.578348477549465,inf,,-inf,
16.52372595119044,inf,,-inf,
16.469462184596598,inf,,-inf,
16.415553654845713,inf,,-inf,
16.361996884990575,inf,,-inf,
16.308788443311435,inf,,-inf,
16.255924942583032,inf,,-inf,
16.203403039355763,inf,,-inf,
16.151219433250798,inf,,-inf,
16.099370866268753,inf,,-inf,
16.047854122111627,inf,,-inf,
15.996666025517731,inf,,-inf,
15.94580344160928,inf,,-inf,
15.895263275252447,inf,,-inf,
15.845042470429469,inf,,-inf,
15.795138009622692,inf,,-inf,
15.745546913210166,inf,,-inf,
15.696266238872637,inf,,-inf,
15.647293081011588,inf,,-inf,
15.598624570178183,inf,,-inf,
15.550257872512818,inf,,-inf,
15.502190189195069,inf,,-inf,
15.454418755903804,inf,,-inf,
15.406940842287268,inf,,-inf,
15.359753751442865,inf,,-inf,
15.312854819406514,inf,,-inf,
15.266241414651311,inf,,-inf,
15.219910937595316,inf,,-inf,
15.173860820118293,inf,,-inf,
15.128088525087161,inf,,-inf,
15.082591545890072,inf,,-inf,
15.037367405978785,inf,,-inf,
14.99241365841934,inf,,-inf,
14.947727885450679,inf,,-inf,
14.903307698051222,inf,,-inf,
14.859150735513074,inf,,-inf,
14.815254665023827,inf,,-inf,
14.771617181255735,inf,,-inf,
14.728236005962131,inf,,-inf,
14.685108887580931,inf,,-inf,
14.642233600845085,inf,,-inf,
14.599607946399837,inf,,-inf,
14.557229750426655,inf,,-inf,
14.515096864273666,inf,,-inf,
14.473207164092525,inf,,-inf,
14.431558550481535,inf,,-inf,
14.390148948134906,inf,,-inf,
14.348976305498047,inf,,-inf,
14.308038594428753,inf,,-inf,
14.267333809864192,inf,,-inf,
14.226859969493507,inf,,-inf,
14.186615113436062,inf,,-inf,
14.146597303925041,inf,,-inf,
14.10680462499647,inf,,-inf,
14.067235182183381,inf,,-inf,
14.027887102215226,inf,,-inf,
13.988758532722203,inf,,-inf,
13.949847641944594,inf,,-inf,
13.911152618446916,inf,,-inf,
13.872671670836809,inf,,-inf,
13.8344030274886,inf,,-inf,
13.796344936271394,inf,,-inf,
13.758495664281678,inf,,-inf,
13.720853497580292,inf,,-inf,
13.68341674093371,inf,,-inf,
13.646183717559548,inf,,-inf,
13.609152768876223,inf,,-inf,
13.572322254256651,inf,,-inf,
13.535690550785967,inf,,-inf,
13.49925605302313,inf,,-inf,
13.463017172766397,inf,,-inf,
13.426972338822518,inf,,-inf,
13.391119996779691,inf,,-inf,
13.355458608784092,inf,,-inf,
13.319986653319988,inf,,-inf,
13.284702624993345,inf,,-inf,
13.249605034318867,inf,,-inf,
13.214692407510395,inf,,-inf,
13.179963286274615,inf,,-inf,
13.14541622760801,inf,,-inf,
13.111049803597,inf,,-inf,
13.076862601221208,inf,,-inf,
13.042853222159783,inf,,-inf,
13.009020282600762,inf,,-inf,
12.975362413053372,inf,,-inf,
12.941878258163241,inf,,-inf,
12.908566476530467,inf,,-inf,
12.875425740530499,inf,,-inf,
12.842454736137743,inf,,-inf,
12.809652162751895,inf,,-inf,
12.777016733026924,inf,,-inf,
12.744547172702662,inf,,-inf,
12.712242220438942,inf,,-inf,
12.680100627652276,inf,,-inf,
12.648121158354986,inf,,-inf,
12.616302588996765,inf,,-inf,
12.584643708308642,inf,,-inf,
12.553143317149255,inf,,-inf,
12.521800228353472,inf,,-inf,
12.49061326658323,inf,,-inf,
12.459581268180628,inf,,-inf,
12.428703081023189,inf,,-inf,
12.397977564381284,inf,,-inf,
12.367403588777636,inf,,-inf,
12.336980035848942,inf,,-inf,
12.306705798209485,inf,,-inf,
12.276579779316794,inf,,-inf,
12.246600893339224,inf,,-inf,
12.216768065025525,inf,,-inf,
12.187080229576262,inf,,-inf,
12.157536332517148,inf,,-inf,
12.12813532957418,inf,,-inf,
12.098876186550608,inf,,-inf,
12.069757879205671,inf,,-inf,
12.040779393135068,inf,,-inf,
12.011939723653171,inf,,-inf,
11.983237875676911,inf,,-inf,
11.95467286361132,inf,,-inf,
11.92624371123672,inf,,-inf,
11.89794945159752,inf,,-inf,
11.869789126892567,inf,,-inf,
11.841761788367073,inf,,-inf,
11.813866496206067,inf,,-inf,
11.786102319429357,inf,,-inf,
11.758468335787924,inf,,-inf,
11.730963631661849,inf,,-inf,
11.70358730195959,inf,,-inf,
11.676338450018722,inf,,-inf,
11.649216187508026,inf,,-inf,
11.622219634330966,inf,,-inf,
11.595347918530482,inf,,-inf,
11.568600176195114,inf,,-inf,
11.541975551366418,inf,,-inf,
11.515473195947662,inf,,-inf,
11.48909226961377,inf,,-inf,
11.462831939722504,inf,,-inf,
11.436691381226867,inf,,-inf,
11.41066977658869,inf,,-inf,
11.384766315693412,inf,,-inf,
11.358980195765993,inf,,-inf,
11.333310621288001,inf,,-inf,
11.307756803915794,inf,,-inf,
11.282317962399812,inf,,-inf,
11.256993322504963,inf,,-inf,
11.23178211693208,inf,,-inf,
11.206683585240416,inf,,-inf,
11.181696973771192,inf,,-inf,
11.156821535572151,inf,,-inf,
11.132056530323144,inf,,-inf,
