x,y,density,2,3,4,5,6,7,8,9,10
-6.99568,-6.99568,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
-6.99568,-6.275079,0.0,-0.0,-0.0,0.0,0.0,-1e-08,0.0,-2e-08,4e-08,-2e-08
-6.99568,-5.673962,0.0,-0.0,-0.0,2e-08,3e-08,-7e-08,2e-08,-1.3e-07,1.9e-07,-1.3e-07
-6.99568,-5.133596,0.0,-2e-08,-3e-08,9e-08,1.5e-07,-2.8e-07,1.2e-07,-5.8e-07,7e-07,-6.6e-07
-6.99568,-4.63156,2e-08,-9e-08,-1.1e-07,3.1e-07,5.8e-07,-8.5e-07,5e-07,-2e-06,1.9e-06,-2.54e-06
-6.99568,-4.156272,6e-08,-2.8e-07,-3.9e-07,8.7e-07,1.8e-06,-2.06e-06,1.73e-06,-5.53e-06,3.96e-06,-7.9e-06
-6.99568,-3.700743,1.8e-07,-7.3e-07,-1.14e-06,1.97e-06,4.64e-06,-4.04e-06,5.01e-06,-1.256e-05,6.52e-06,-2.042e-05
-6.99568,-3.260321,4.5e-07,-1.6e-06,-2.84e-06,3.74e-06,1.019e-05,-6.44e-06,1.25e-05,-2.386e-05,8.33e-06,-4.485e-05
-6.99568,-2.831681,9.7e-07,-3.02e-06,-6.19e-06,5.98e-06,1.929e-05,-8.29e-06,2.723e-05,-3.814e-05,7.74e-06,-8.488e-05
-6.99568,-2.412318,1.87e-06,-4.97e-06,-1.193e-05,8e-06,3.168e-05,-8.21e-06,5.25e-05,-5.105e-05,3.97e-06,-0.0001394
-6.99568,-2.000259,3.22e-06,-7.09e-06,-2.053e-05,8.76e-06,4.521e-05,-5.35e-06,9.035e-05,-5.587e-05,-1.7e-06,-0.00019894
-6.99568,-1.593886,4.98e-06,-8.74e-06,-3.177e-05,7.32e-06,5.573e-05,-2.8e-07,0.00013978,-4.668e-05,-6.09e-06,-0.00024524
-6.99568,-1.191827,6.96e-06,-9.13e-06,-4.439e-05,3.55e-06,5.824e-05,4.77e-06,0.00019534,-2.264e-05,-6.2e-06,-0.00025628
-6.99568,-0.792877,8.82e-06,-7.69e-06,-5.625e-05,-1.49e-06,4.909e-05,7.03e-06,0.0002475,9.48e-06,-1.78e-06,-0.00021601
-6.99568,-0.395943,1.015e-05,-4.42e-06,-6.477e-05,-5.82e-06,2.823e-05,5.08e-06,0.000285,3.71e-05,3.93e-06,-0.00012421
-6.99568,0.0,1.064e-05,0.0,-6.788e-05,-7.52e-06,0.0,0.0,0.00029867,4.8e-05,6.52e-06,-0.0
-6.99568,0.395943,1.015e-05,4.42e-06,-6.477e-05,-5.82e-06,-2.823e-05,-5.08e-06,0.000285,3.71e-05,3.93e-06,0.00012421
-6.99568,0.792877,8.82e-06,7.69e-06,-5.625e-05,-1.49e-06,-4.909e-05,-7.03e-06,0.0002475,9.48e-06,-1.78e-06,0.00021601
-6.99568,1.191827,6.96e-06,9.13e-06,-4.439e-05,3.55e-06,-5.824e-05,-4.77e-06,0.00019534,-2.264e-05,-6.2e-06,0.00025628
-6.99568,1.593886,4.98e-06,8.74e-06,-3.177e-05,7.32e-06,-5.573e-05,2.8e-07,0.00013978,-4.668e-05,-6.09e-06,0.00024524
-6.99568,2.000259,3.22e-06,7.09e-06,-2.053e-05,8.76e-06,-4.521e-05,5.35e-06,9.035e-05,-5.587e-05,-1.7e-06,0.00019894
-6.99568,2.412318,1.87e-06,4.97e-06,-1.193e-05,8e-06,-3.168e-05,8.21e-06,5.25e-05,-5.105e-05,3.97e-06,0.0001394
-6.99568,2.831681,9.7e-07,3.02e-06,-6.19e-06,5.98e-06,-1.929e-05,8.29e-06,2.723e-05,-3.814e-05,7.74e-06,8.488e-05
-6.99568,3.260321,4.5e-07,1.6e-06,-2.84e-06,3.74e-06,-1.019e-05,6.44e-06,1.25e-05,-2.386e-05,8.33e-06,4.485e-05
-6.99568,3.700743,1.8e-07,7.3e-07,-1.14e-06,1.97e-06,-4.64e-06,4.04e-06,5.01e-06,-1.256e-05,6.52e-06,2.042e-05
-6.99568,4.156272,6e-08,2.8e-07,-3.9e-07,8.7e-07,-1.8e-06,2.06e-06,1.73e-06,-5.53e-06,3.96e-06,7.9e-06
-6.99568,4.63156,2e-08,9e-08,-1.1e-07,3.1e-07,-5.8e-07,8.5e-07,5e-07,-2e-06,1.9e-06,2.54e-06
-6.99568,5.133596,0.0,2e-08,-3e-08,9e-08,-1.5e-07,2.8e-07,1.2e-07,-5.8e-07,7e-07,6.6e-07
-6.99568,5.673962,0.0,0.0,-0.0,2e-08,-3e-08,7e-08,2e-08,-1.3e-07,1.9e-07,1.3e-07
-6.99568,6.275079,0.0,0.0,-0.0,0.0,-0.0,1e-08,0.0,-2e-08,4e-08,2e-08
-6.99568,6.99568,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
-6.275079,-6.99568,0.0,-0.0,-0.0,0.0,0.0,-2e-08,0.0,-2e-08,6e-08,-1e-08
-6.275079,-6.275079,0.0,-1e-08,-1e-08,5e-08,5e-08,-1.8e-07,3e-08,-2.5e-07,5.7e-07,-1.9e-07
-6.275079,-5.673962,1e-08,-7e-08,-6e-08,3.1e-07,3.9e-07,-1.06e-06,2.3e-07,-1.68e-06,3.05e-06,-1.44e-06
-6.275079,-5.133596,6e-08,-3.7e-07,-3.5e-07,1.42e-06,1.98e-06,-4.34e-06,1.3e-06,-7.68e-06,1.103e-05,-7.32e-06
-6.275079,-4.63156,2.8e-07,-1.42e-06,-1.5e-06,4.92e-06,7.66e-06,-1.331e-05,5.55e-06,-2.656e-05,2.967e-05,-2.827e-05
-6.275079,-4.156272,9.6e-07,-4.4e-06,-5.2e-06,1.356e-05,2.379e-05,-3.223e-05,1.919e-05,-7.329e-05,6.199e-05,-8.779e-05
-6.275079,-3.700743,2.79e-06,-1.138e-05,-1.509e-05,3.08e-05,6.148e-05,-6.315e-05,5.569e-05,-0.00016642,0.00010195,-0.00022684
-6.275079,-3.260321,6.96e-06,-2.499e-05,-3.763e-05,5.85e-05,0.00013505,-0.00010081,0.00013885,-0.0003161,0.00013023,-0.0004983
-6.275079,-2.831681,1.517e-05,-4.73e-05,-8.199e-05,9.352e-05,0.00025558,-0.00012968,0.00030255,-0.00050533,0.00012112,-0.00094304
-6.275079,-2.412318,2.925e-05,-7.768e-05,-0.00015807,0.00012517,0.00041973,-0.00012847,0.00058324,-0.00067634,6.217e-05,-0.00154875
-6.275079,-2.000259,5.035e-05,-0.00011086,-0.00027205,0.000137,0.000599,-8.364e-05,0.00100383,-0.00074024,-2.656e-05,-0.00221025
-6.275079,-1.593886,7.789e-05,-0.00013666,-0.00042087,0.00011446,0.00073841,-4.37e-06,0.00155294,-0.00061849,-9.53e-05,-0.00272464
-6.275079,-1.191827,0.00010885,-0.00014281,-0.00058817,5.551e-05,0.00077163,7.456e-05,0.00217026,-0.00029992,-9.698e-05,-0.00284722
-6.275079,-0.792877,0.00013792,-0.00012037,-0.00074521,-2.324e-05,0.0006504,0.00010999,0.00274974,0.00012555,-2.788e-05,-0.00239991
-6.275079,-0.395943,0.00015881,-6.922e-05,-0.00085811,-9.096e-05,0.000374,7.94e-05,0.00316632,0.00049151,6.147e-05,-0.00138001
-6.275079,0.0,0.00016643,0.0,-0.00089928,-0.00011768,0.0,0.0,0.00331825,0.00063589,0.00010192,-0.0
-6.275079,0.395943,0.00015881,6.922e-05,-0.00085811,-9.096e-05,-0.000374,-7.94e-05,0.00316632,0.00049151,6.147e-05,0.00138001
